n_components;n_neighbors;min_cluster_size;min_dist;coherence;diversity;score;n_topics;topic0_count
4;19;14;0,3;0,404346837;0,671428571;0,271490019;7;4716
4;19;13;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;19;12;0,3;0,404346837;0,671428571;0,271490019;7;4716
4;16;14;0,5;0,404346837;0,671428571;0,271490019;7;4709
4;16;11;0,5;0,404346837;0,671428571;0,271490019;7;4709
4;18;12;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;19;13;0,3;0,404346837;0,671428571;0,271490019;7;4716
4;19;12;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;19;14;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;18;13;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;18;14;0,5;0,404346837;0,671428571;0,271490019;7;4716
4;16;12;0,5;0,404346837;0,671428571;0,271490019;7;4709
4;16;13;0,5;0,404346837;0,671428571;0,271490019;7;4709
3;11;11;0,1;0,389525686;0,696875;0,271450713;64;402
3;13;12;0,1;0,37572521;0,72244898;0,271442295;49;370
4;17;11;0,1;0,380673215;0,712962963;0,271405903;54;353
4;10;11;0,1;0,389113394;0,696491228;0,271014066;57;412
4;19;11;0,1;0,372136444;0,728;0,270915331;50;355
4;14;16;0,1;0,461966354;0,585714286;0,270580293;14;3969
3;11;10;0,1;0,384569513;0,702898551;0,270313353;69;449
4;15;10;0,1;0,383147302;0,70483871;0,27005705;62;337
3;13;13;0,1;0,364101307;0,740425532;0,269589904;47;352
2;17;12;0,3;0,414273266;0,65;0,269277623;10;4694
2;17;11;0,3;0,414273266;0,65;0,269277623;10;4694
2;11;17;0,1;0,475061718;0,566666667;0,26920164;15;3905
2;11;18;0,1;0,475061718;0,566666667;0,26920164;15;3897
2;14;19;0,1;0,38875222;0,691666667;0,268886952;24;2776
3;17;16;0,3;0,413280495;0,65;0,268632322;8;4715
3;18;13;0,1;0,434304816;0,618181818;0,268479341;11;4518
4;18;12;0,1;0,440451042;0,609090909;0,268274725;11;4516
2;19;11;0,1;0,37480189;0,715492958;0,268168113;71;227
4;12;10;0,1;0,3951214;0,678378378;0,268041815;74;324
2;15;18;0,5;0,382582157;0,7;0,26780751;7;4690
2;15;19;0,5;0,382582157;0,7;0,26780751;7;4690
2;18;10;0,1;0,435060809;0,615384615;0,267729729;39;3069
3;16;12;0,1;0,357123883;0,749019608;0,267492791;51;380
3;16;19;0,1;0,445790849;0,6;0,267474509;13;3962
3;15;10;0,1;0,382082032;0,7;0,267457422;68;347
2;11;12;0,1;0,509056705;0,525;0,26725477;16;4061
2;13;14;0,1;0,463003278;0,576923077;0,267117276;13;4481
4;14;17;0,1;0,455928294;0,585714286;0,267043715;14;3965
4;10;10;0,1;0,389551227;0,684848485;0,266783567;66;439
4;14;16;0,3;0,402502055;0,6625;0,266657611;8;4696
4;14;17;0,3;0,402502055;0,6625;0,266657611;8;4696
3;13;14;0,1;0,357909003;0,744186047;0,266350886;43;208
2;11;15;0,1;0,477472494;0,557142857;0,26602039;14;4050
2;11;16;0,1;0,477472494;0,557142857;0,26602039;14;4049
4;15;13;0,1;0,358478719;0,740909091;0,265600142;44;355
2;12;14;0,1;0,38107384;0,694871795;0,264797463;39;2056
4;13;12;0,1;0,36922174;0,716666667;0,264608914;48;716
3;10;12;0,1;0,36892005;0,716666667;0,264392703;54;338
4;11;11;0,1;0,388477674;0,679661017;0,264033131;59;468
4;11;13;0,1;0,387982535;0,680434783;0,263996812;46;350
4;19;14;0,1;0,398235545;0,6625;0,263831048;8;4696
2;18;11;0,1;0,364657091;0,722807018;0,263576705;57;364
4;14;18;0,1;0,467050436;0,564285714;0,263549889;14;3960
2;15;14;0,1;0,344049721;0,766;0,263542086;50;399
2;19;12;0,1;0,428595147;0,614285714;0,263279876;28;3275
4;14;19;0,1;0,472385041;0,557142857;0,263185951;14;3959
2;12;13;0,1;0,395551981;0,664285714;0,26275953;42;2139
4;11;12;0,1;0,384502616;0,683333333;0,262743454;48;446
4;16;18;0,3;0,399586489;0,657142857;0,262585407;7;4716
4;16;17;0,3;0,399586489;0,657142857;0,262585407;7;4716
4;16;19;0,3;0,399586489;0,657142857;0,262585407;7;4716
2;16;17;0,5;0,382701927;0,685714286;0,262424178;7;4689
2;16;19;0,5;0,382701927;0,685714286;0,262424178;7;4689
2;16;16;0,5;0,382701927;0,685714286;0,262424178;7;4689
2;16;18;0,5;0,382701927;0,685714286;0,262424178;7;4689
4;11;19;0,1;0,371100521;0,707142857;0,262421083;28;651
3;13;10;0,1;0,369444349;0,709333333;0,262059191;75;325
2;14;14;0,1;0,415013682;0,63;0,261458619;30;2837
4;17;13;0,1;0,361113371;0,723809524;0,261377297;42;358
2;15;15;0,1;0,419183342;0,622727273;0,261036899;22;3498
4;10;16;0,1;0,36306087;0,718918919;0,261011328;37;439
2;12;11;0,1;0,338132686;0,771794872;0,260969073;78;381
3;12;12;0,1;0,416864713;0,625581395;0,260782809;43;2013
3;10;10;0,1;0,375134184;0,694029851;0,260354321;67;328
3;12;15;0,1;0,357576217;0,727777778;0,260236024;36;658
4;11;19;0,3;0,387383053;0,671428571;0,26010005;7;4708
2;11;19;0,1;0,39357203;0,66;0,25975754;25;2908
4;10;17;0,1;0,363373829;0,714285714;0,259552735;35;473
3;17;17;0,3;0,399206049;0,65;0,259483932;8;4715
3;17;19;0,3;0,399206049;0,65;0,259483932;8;4715
3;17;18;0,3;0,399206049;0,65;0,259483932;8;4715
2;19;10;0,1;0,376111199;0,688405797;0,25891713;69;411
2;15;16;0,1;0,469466053;0,55;0,258206329;12;4398
4;17;14;0,1;0,354898632;0,726829268;0,257950713;41;380
3;10;13;0,1;0,358373777;0,719607843;0,257888581;51;349
2;10;15;0,3;0,382034893;0,675;0,257873553;8;4720
2;12;12;0,1;0,335051495;0,769444444;0,257803512;72;381
3;17;13;0,1;0,329881493;0,781395349;0,257767864;43;337
4;13;18;0,1;0,354268445;0,727272727;0,257649778;33;671
3;11;12;0,1;0,358216962;0,718965517;0,257545643;58;390
3;14;18;0,3;0,388648073;0,6625;0,257479348;8;4708
3;14;16;0,3;0,388648073;0,6625;0,257479348;8;4708
3;14;15;0,3;0,388648073;0,6625;0,257479348;8;4708
2;10;10;0,5;0,418298425;0,615384615;0,257414416;13;4659
3;13;19;0,3;0,383147755;0,671428571;0,25725635;7;4709
3;12;17;0,5;0,383147755;0,671428571;0,25725635;7;4709
3;12;18;0,5;0,383147755;0,671428571;0,25725635;7;4709
4;15;18;0,1;0,383147755;0,671428571;0,25725635;7;4709
3;13;15;0,3;0,383147755;0,671428571;0,25725635;7;4709
3;13;16;0,3;0,383147755;0,671428571;0,25725635;7;4709
3;13;17;0,3;0,383147755;0,671428571;0,25725635;7;4709
3;13;18;0,3;0,383147755;0,671428571;0,25725635;7;4709
4;15;16;0,1;0,383147755;0,671428571;0,25725635;7;4709
4;15;17;0,1;0,383147755;0,671428571;0,25725635;7;4709
4;15;19;0,1;0,383147755;0,671428571;0,25725635;7;4709
3;12;19;0,5;0,383147755;0,671428571;0,25725635;7;4709
4;14;13;0,1;0,3490688;0,736956522;0,257248528;46;336
2;14;10;0,5;0,409963639;0,627272727;0,25715901;11;4695
3;17;15;0,3;0,395597933;0,65;0,257138656;8;4715
2;12;19;0,3;0,382465247;0,671428571;0,256798094;7;4696
